Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Condition,Selling Price,SKU,Image 1,Image 2
Trading Card Games,Pokémon Cards,drowzee base 49/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Voltorb 067/102 Base Set ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Onix 056/102 Base Set,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Magnemite 60/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Voltorb - 69/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Electrode 34/82,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Wigglytuff 40/105 Neo Destiny ,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Exeggcutor Neo Destiny ,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Chikorita 54/111 Neo Genesis,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kogas Ekans 77/132,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kogas Zubat 83/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kogas Tangela 81/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lt Surges Voltorb Gym Challenge 86/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lt Surges Voltorb Gym Challenge 86/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lt Surges Voltorb Gym Challenge 84/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lt Surges Spearow Gym Challenge 83/132 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Giovannis Magicarp Gym Challenge 88/132,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sabrinas Haunter Gym Challenge 55/132,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sabrinas Venomoth rare Gym Challenge 34/132,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Misty's Dewgong 54/132 Gym Challenge,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brocks geodude 66/132 Gym Heroes,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brocks Graveler 34/132 Gym Heroes,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brocks Sandslash 36/132 Gym Heroes,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
